,word1,word2,meanSim,sd,count,W2VWordPairsSim,SimBins
0,ankle,dagger,18.55,19.4028619701213,20,0.18084046578796553,1
1,anklet,thumb,26.9,23.7196343275266,20,0.47748479244258013,3
2,badger,acorn,30.8421052631579,24.9805772504576,19,0.16868010847348935,1
3,barrel,crane,20.1052631578947,18.3572411896115,19,0.3751890524125628,2
4,bear,grass,31.1052631578947,18.3208889183968,19,0.15006241400216377,1
5,beard,puck,10.8235294117647,9.15993513976523,17,0.15867453185593056,1
6,bedpan,cherry,6.58333333333333,6.52907251290625,12,0.07648832436969824,1
7,berry,pear,69.9130434782609,21.3177541105109,23,0.8311557898711097,5
8,bikini,bison,10.5384615384615,18.0398419459788,13,0.04398189958127831,1
9,binder,weed,13.2222222222222,14.7191574069728,18,0.1938189302596289,1
10,bird,crow,86.25,12.2936297867364,16,0.9999998814517473,5
11,blimp,taco,6.0625,6.70789336031316,16,0.10888689285486244,1
12,blind,switch,30.5454545454545,22.77995625383,22,0.2521737548492715,2
13,blouse,skirt,74.1818181818182,19.0253419512932,11,0.9999999676780317,5
14,blower,faucet,28.8823529411765,23.8455508243707,17,0.127666791564387,1
15,bolt,towel,15.4090909090909,14.8055944732263,22,0.27563140100909445,2
16,bonnet,scoop,14.8636363636364,12.7402453984942,22,0.29550152533905566,2
17,bonsai,tulip,64.8333333333333,17.3038794038864,12,0.5495629722138741,3
18,bowtie,wolf,6.0625,9.27698765763974,16,0.20837651533216422,2
19,branch,train,23.45,18.4575615655852,20,0.40194710656852567,3
20,buckle,zipper,77.9444444444444,19.5040635953646,18,0.9488969555838095,5
21,cactus,moose,14.1428571428571,14.5224343310996,14,0.34621602100896204,2
22,cake,scone,75.3125,24.5430743795475,16,1.0000000320639069,5
23,candle,lamp,76.3076923076923,13.3814835711181,13,0.6987496633198526,4
24,cannon,garlic,9.16666666666667,9.61157390551498,18,0.11498893411172474,1
25,cape,chime,11.15,10.8737975741785,20,0.25736199405736754,2
26,cart,buggy,83.9333333333333,10.5048741521439,15,0.42862040533439477,3
27,cello,violin,91.2307692307692,9.73099726093414,13,0.8084852466940989,5
28,chest,dial,18.6923076923077,8.33051234303364,13,0.19790730641720147,1
29,chick,girl,68.2941176470588,25.148967935788,17,0.6247244966234788,4
30,chili,clove,65.2307692307692,23.6119808789022,13,0.7131320706496668,4
31,chin,neck,82.1538461538462,13.6982124980242,13,0.6643055711409509,4
32,chip,tablet,40.6521739130435,31.1807176657337,23,0.42313580545871754,3
33,chips,potato,93.1111111111111,9.56641729537663,18,0.603917424192587,4
34,chisel,spool,36.5555555555556,21.8352416468831,9,0.5619899706633167,3
35,cigar,flask,28.2857142857143,25.3971314465686,21,0.4852363937058211,3
36,clay,tick,8.47058823529412,16.6174518468492,17,0.015305519859173366,1
37,cloak,chalk,10.4444444444444,10.1588687548902,18,0.14358588471713205,1
38,closet,camper,29.0555555555556,26.8185015641029,18,0.3363140723585785,2
39,coat,boar,24.2222222222222,26.9434168660603,18,0.28153211117746574,2
40,cocoon,yogurt,8.55555555555556,8.84654949166604,18,0.1356170116789992,1
41,cookie,cereal,66.9285714285714,18.820873378387,14,0.43280762431870573,3
42,coyote,cobra,56.8666666666667,22.0741175739069,15,0.5795780256398243,3
43,crank,pulley,66.7619047619048,29.4684657929536,21,0.999999982961594,5
44,crepe,lens,12.6,16.0013157353749,20,0.08962399995843817,1
45,crutch,camel,13.75,14.0819967184681,20,0.3668535624086244,2
46,daisy,riser,11.0833333333333,8.8804458694696,24,0.21070634176822417,2
47,desk,toilet,22.3,18.7113812818211,20,0.4271657233874721,3
48,domino,statue,19.3333333333333,16.9003901850164,24,0.11084371457877168,1
49,drain,sink,79.5833333333333,19.033264342071,12,0.6312402837319344,4
50,eagle,hawk,84.6875,20.1087667448802,16,1.0000000473611077,5
51,earwig,walnut,18.8,24.0037034179682,10,0.24217337756216092,2
52,eraser,mirror,16.4210526315789,20.336928068783,19,0.24006374430081112,2
53,file,folder,86.3125,19.8115075986996,16,0.7610749231203271,4
54,filter,vacuum,54.8,17.8533710302244,15,0.614644204708111,4
55,flag,banner,82.8235294117647,10.2544825205715,17,0.6166730372903241,4
56,flower,orchid,83.4285714285714,20.5527998680857,14,1.000000075895696,5
57,fudge,rifle,8.5,9.78744694223467,18,0.025318974476643434,1
58,fungus,moth,32.7,27.6502593496926,20,0.42118623274423467,3
59,game,pepper,9.5,7.96373358617545,20,0.058678138270947575,1
60,globe,coal,18.8235294117647,15.0591969163268,17,0.05216874231823626,1
61,goose,duck,86.12,18.171222670292,25,0.6267412634474379,4
62,gravy,grits,62.3333333333333,29.4998715970498,12,0.9999999222155023,5
63,grill,monkey,12.5555555555556,10.4781128870232,18,0.0769030395339553,1
64,hanger,lime,8.0,9.45750730607407,19,0.17717069301348795,1
65,heater,tripod,14.5,12.4081238896756,14,0.42639114640829195,3
66,helmet,visor,77.0,19.8863437229338,16,1.0000000639650986,5
67,horse,pony,90.6842105263158,9.40480156078058,19,0.6533058200079189,4
68,hotdog,bacon,61.5,23.5391356912464,12,0.6548149151493012,4
69,jacket,blazer,91.3571428571429,8.08233727483429,14,1.000000027289991,5
70,jersey,shirt,80.2666666666667,18.7862665137012,15,0.649010826232407,4
71,juice,soda,86.0,11.2960169971544,16,0.6368797682740719,4
72,kayak,block,11.6153846153846,12.1143060162937,13,0.23403621618525616,2
73,kilt,tiara,33.2,23.8872350848733,15,0.7504167009646243,4
74,kitten,beetle,46.8,25.7112167480784,10,0.31663955483072204,2
75,kiwi,apple,82.0,26.1321428300262,10,0.6305076508837961,4
76,knee,wrist,73.9375,22.1794762487004,16,0.6693561718401636,4
77,knife,sheath,70.7058823529412,28.0039387985921,17,0.7353757766519807,4
78,knob,button,75.0555555555556,21.8537174714112,18,0.8745436161243056,5
79,leash,drink,9.63157894736842,9.34648196629078,19,0.10846355647514298,1
80,leech,worm,68.9047619047619,27.9121922498122,21,0.8096479883256736,5
81,leek,roll,32.0,28.9010852265573,12,0.22829037767919647,2
82,lion,fossil,17.6363636363636,15.4751581407273,22,0.19652462362329093,1
83,locket,kimono,16.0,21.4334156015281,24,0.01034292436426615,1
84,makeup,paint,72.7142857142857,14.6018589814546,21,0.5059358101695669,3
85,mast,frame,52.35,27.5246779224906,20,0.4552374182405689,3
86,medal,torso,14.3571428571429,12.3513134951286,14,0.017293144727506125,1
87,money,wand,17.2105263157895,13.4353552960026,19,0.21512596317972674,2
88,moss,boot,17.4,14.3218115374517,15,0.22308885267781803,2
89,mouth,nose,79.8461538461538,12.8117534178982,13,0.6618244683957779,4
90,muffin,crumb,59.0,24.305744810008,14,0.9999999752537505,5
91,napkin,tinsel,20.8,20.7405019479431,20,0.43362053730146755,3
92,orange,amber,81.25,18.1510475266798,20,0.9999999638598666,5
93,otter,iguana,56.75,20.2797107145705,16,0.8665363737116641,5
94,parrot,turtle,57.4444444444444,20.3071190710874,18,0.6520642147741101,4
95,pasta,quiche,53.75,20.4042479237372,16,1.0000000607590505,5
96,pipe,paper,23.2666666666667,25.4290797166963,15,0.2580975669405987,2
97,poppy,crayon,14.0588235294118,17.4121745778467,17,0.23795970777295308,2
98,powder,floss,26.3333333333333,15.910735845696,12,0.48735431534363993,3
99,prism,ring,25.0,18.9707377001763,19,0.35906643051431625,2
100,prune,thorn,41.8571428571429,28.971755855706,14,0.9999999789363323,5
101,puddle,sand,46.0,27.657428176411,16,0.6764054315773257,4
102,racket,hinge,21.1578947368421,21.5000339997011,19,0.649333502230905,4
103,radio,dress,9.07142857142857,5.22515050521971,14,0.003992160614717995,1
104,radish,melon,60.25,23.6684889340459,20,0.5682274108553733,3
105,raft,shorts,29.8333333333333,23.9955804011463,12,0.213414433174442,2
106,ramp,noose,18.05,17.9662695656406,20,0.32292999589692944,2
107,record,kite,14.8823529411765,9.91137195940335,17,0.1502668807982888,1
108,root,squash,48.4210526315789,31.688265948619,19,0.24602957778137544,2
109,rope,skunk,11.8571428571429,11.3466846588443,14,0.3233968539221659,2
110,rosary,altar,63.2777777777778,30.8846155411425,18,0.4618963390922412,3
111,ruby,jewel,84.1,15.7877367465684,20,0.6486867743268038,4
112,sandal,insole,64.8125,24.8467804755465,16,0.8545205323394657,5
113,sauce,fondue,60.4736842105263,24.9607879617715,19,0.6004785271851446,4
114,seed,leaf,70.9375,19.587304561884,16,0.4491970734790321,3
115,shelf,gauze,12.4210526315789,14.4887534525296,19,0.3795237854715929,2
116,shovel,bucket,68.7368421052632,28.0294331517249,19,1.0000000852688726,5
117,slicer,hummus,19.125,20.0095810384259,16,0.5005510684416782,3
118,slime,possum,10.3571428571429,9.00091570433162,14,0.299240600347622,2
119,snake,koala,49.6875,23.1537433978468,16,0.674045570966141,4
120,sponge,watch,8.05555555555556,8.34176044490978,18,0.1765920080073396,1
121,spoon,saucer,65.2307692307692,20.4660444238493,13,0.999999996637915,5
122,squid,fish,86.4285714285714,12.0107095068169,21,0.7524406064907906,4
123,stem,stump,47.7142857142857,21.9139175005242,14,0.4020917890206282,3
124,stove,teepee,23.7142857142857,21.2041101137088,21,0.4416846695982647,3
125,suit,sheet,33.5833333333333,24.9598161900769,12,0.1534113809576238,1
126,sundae,sushi,46.8421052631579,26.5482017760876,19,0.6102107258645089,4
127,tank,bumper,29.6666666666667,26.1196342646226,18,0.33731408101689114,2
128,tape,wire,60.375,24.5108819370771,16,0.5010969904798186,3
129,target,clasp,13.75,11.0785077214097,16,0.26308674621210815,2
130,teabag,coffee,83.4,19.0405582151064,15,0.8065881665830336,5
131,throne,donkey,18.4666666666667,21.0945716330281,15,0.10856485547573878,1
132,tiger,panda,63.2857142857143,23.9398054652557,21,1.000000062173301,5
133,tomato,dough,45.85,27.6029651343932,20,0.4452835583694612,3
134,tongs,skewer,65.1428571428571,22.7557503902679,14,0.999999996637915,5
135,vial,goblet,67.0,21.7580275922677,18,0.665338846800113,4
136,walrus,arrow,8.58823529411765,9.50038698902189,17,0.21352692668801146,2
137,yacht,ship,90.0,10.9468412491153,13,0.5732494750650724,3
138,yarn,alpaca,46.875,27.5,16,0.7300086564131052,4
